song_name,og_artist,year
"1, 2 step (ft.åÊmissyåÊelliott)",Ciara,2005
2u (ft.åÊjustinåÊbieber),David Guetta,2017
axel f,Crazy Frog,2014
bills,LunchMoney Lewis,2009
boy with luv,BTS,2019
"‰ÛÜbreak up with your girlfriend, i'm bored",Ariana Grande,2019
‰ÛÜbroken,‰ÛÜlovelytheband,2019
bts - “_Ô“Û _Ä‘Ò_“ã “Ïã’¥Ï “ÜÏ (boy with luv) ft. halsey (romanized),Genius Romanizations,2019
candy girl,New Edition,2012
cha cha slide,DJ Casper,2014
cold water (ft.åÊjustinåÊbieber & mÌü),Major Lazer,2016
con altura,ROSALÌA & J Balvin,2019
con calma,Daddy Yankee,2019
cool,Gwen Stefani,2006
cool,Jonas Brothers,2019
cupid's chokehold / breakfast in america (ft.åÊpatrickåÊstump),Gym Class Heroes,2007
dancing in the street,David Bowie,2004
desconocidos,Mau y Ricky,2019
don't stop the party (ft.åÊtjr),Pitbull,2013
every rose has its thorn,Poison,2011
everything you want,Vertical Horizon,2001
ex's and oh's,Elle King,2016
ex's and oh's,NA,2016
exit sign,Hilltop Hoods,2019
exit sign (ft.åÊeccaåÊvandal & illy),Hilltop Hoods,2019
feel good inc. (ft.åÊdeåÊla soul),Gorillaz,2006
fuckin' perfect,P!nk,2011
go christmas,Kidz Bop Kids,2012
good  old days,Macklemore,2018
hard days night,The Beatles,2009
here with me,Marshmello,2019
here with me (ft.åÊchvrches),Marshmello,2019
hey baby (ft.åÊbountyåÊkiller),No Doubt,2003
hold on,Good Charlotte,2004
how far i'll go (ft.åÊauli'iåÊcravalho),Walt Disney Records,2017
i don‰Ûªt wanna be in love,Good Charlotte,2008
i gotta feeling - 1461400,The Black Eyed Peas,2009
i like it like that feat. hot chelle rae,Kidz Bop Kids,2012
i want candy,Aaron Carter,2008
i want you to know (ft.åÊselenaåÊgomez),Zedd,2017
i'll be there,The Rembrandts,2004
i'm still in love with you (ft.åÊsasha),Sean Paul,2004
"jesus, take the wheel",Carrie Underwood,2007
juju on that beat (tz anthem) (ft.åÊzayionåÊmccall),Zay Hilfigerrr,2017
just got paid (ft.åÊfrenchåÊmontana),"Sigala, Ella Eyre & Meghan Trainor",2019
me against the music (ft.åÊmadonna),Britney Spears,2004
"me, myself and i",BeyoncÌ©,2004
mÌ_a (ft.åÊdrake),Bad Bunny,2019
mickey,Toni Basil,2008
never be like you (ft.åÊkai),Flume,2016
"never leave you (uh oooh, uh oooh)",Lumidee,2004
nothing breaks like a heart,Mark Ronson,2017
obsession (no es amor) (ft.åÊbabyåÊbash),Frankie J,2005
outside (ft.åÊellieåÊgoulding),Calvin Harris,2015
over my head (cable car),The Fray,2007
rich girl (ft.åÊeve),Gwen Stefani,2005
rise,Jonas Blue,2019
seÌ±orita,Justin Timberlake,2004
seÌ±orita,Shawn Mendes & Camila Cabello,2019
sing! (ft.åÊpharrellåÊwilliams),Ed Sheeran,2014
sk8er boi,Avril Lavigne,2003
style,Taylor Swift,2015
the game of love (ft.åÊmichelleåÊbranch),Santana,2003
there‰Ûªs gotta be (more to life),Stacie Orrico,2004
this feeling,The Chainsmokers,2019
this feeling (ft.åÊkelseaåÊballerini),The Chainsmokers,2019
tik tok,Kesha,2010
timber,Pitbull & Kesha,2014
what goes around... / ...comes around (interlude),Justin Timberlake,2007
where are Ì_ now,"Skrillex, Justin Bieber & Diplo",2015
where‰Ûªd you go,Fort Minor,2006
white christmas,Die Antwoord,2007
wild ones - 1717396,Flo Rida,2012
wrecking ball,Miley Cyrus,2014
you've got a friend,Randy Newman,2004
NA,Miley Cyrus,NA
